field_path,paper_count,occurrence_count,in_schema,observed_in_results
papers,81,162,True,True
papers[].paper_id,81,81,True,True
papers[].paper_scope,81,81,True,True
samples[].alloy_id,80,744,True,True
samples[].paper_id,80,744,True,True
samples[].sample_id,80,744,True,True
samples[].process_id,80,740,True,True
alloys[].alloy_id,80,362,True,True
alloys[].alloy_name,80,362,True,True
alloys[].base_element,80,362,True,True
alloys[].paper_id,80,362,True,True
processes[].description,80,358,True,True
processes[].paper_id,80,358,True,True
processes[].process_id,80,358,True,True
alloys,80,160,True,True
processes,80,160,True,True
samples,80,160,True,True
papers[].research_type,80,80,True,True
alloys[].alloying_elements,79,714,True,True
papers[].authors,79,158,True,True
unmapped_findings,79,158,True,True
papers[].title,79,79,True,True
properties[].property_set_id,78,639,True,True
properties[].sample_id,78,639,True,True
structures[].sample_id,78,429,True,True
properties,78,156,True,True
structures,78,156,True,True
alloys[].nominal_composition[].element,77,1403,True,True
structures[].microstructure_list[].phases_present,77,1094,True,True
structures[].microstructure_list,77,844,True,True
structures[].microstructure_list[].phases_present[].phase_name,77,829,True,True
alloys[].nominal_composition,77,706,True,True
characterization_methods[].characterization_id,77,591,True,True
characterization_methods[].purpose,77,591,True,True
characterization_methods[].technique,77,591,True,True
characterization_methods[].key_findings,77,588,True,True
structures[].microstructure_list[].uuid,77,553,True,True
structures[].overall_structure,77,423,True,True
structures[].structure_id,77,423,True,True
characterization_methods,77,154,True,True
processing_steps[].method,76,1591,True,True
processing_steps[].paper_id,76,1591,True,True
processing_steps[].sample_id,76,1591,True,True
processing_steps[].sequence,76,1591,True,True
processing_steps[].type,76,1586,True,True
processing_steps,76,152,True,True
structures[].number_of_phases,75,384,True,True
papers[].keywords,75,150,True,True
alloys[].nominal_composition[].weight_percent,73,1305,True,True
structures[].microstructure_list[].phases_present[].morphology,73,687,True,True
structures[].microstructure_list[].phases_present[].crystal_structure,73,627,True,True
processing_steps[].temperature,71,1172,True,True
processing_steps[].unit,69,1098,True,True
properties[].mechanical,68,528,True,True
processing_steps[].processing_steps_notes,67,811,True,True
characterization_methods[].sample_id,67,520,True,True
processing_steps[].cooling_medium,65,645,True,True
properties[].mechanical.tensile_properties,65,399,True,True
processing_steps[].duration,64,763,True,True
structures[].microstructure_list[].phases_present[].volume_fraction,60,419,True,True
characterization_methods[].microstructure_uuid,57,362,True,True
processes[].alloy_id,57,273,True,True
computational_details,57,114,True,True
computational_details[].computation_id,57,84,True,True
properties[].mechanical.tensile_properties.elongation,56,586,True,True
properties[].mechanical.tensile_properties.elongation[].value,56,317,True,True
properties[].mechanical.tensile_properties.yield_strength,55,674,True,True
structures[].microstructure_list[].precipitates,55,478,True,True
structures[].microstructure_list[].defects,55,396,True,True
properties[].mechanical.tensile_properties.yield_strength[].value,55,367,True,True
alloys[].aliases,55,336,True,True
properties[].mechanical.tensile_properties.elongation[].unit,55,316,True,True
structures[].microstructure_list[].precipitates[].type,55,290,True,True
structures[].microstructure_list[].defects[].type,55,224,True,True
properties[].mechanical.tensile_properties.ultimate_tensile_strength,54,582,True,True
properties[].mechanical.tensile_properties.yield_strength[].unit,54,365,True,True
structures[].microstructure_list[].precipitates[].precipitate_id,54,289,True,True
structures[].microstructure_list[].related_sequence,53,346,True,True
properties[].mechanical.tensile_properties.ultimate_tensile_strength[].value,53,282,True,True
structures[].microstructure_list[].precipitates[].distribution,53,280,True,True
properties[].mechanical.tensile_properties.ultimate_tensile_strength[].unit,52,281,True,True
alloys[].alloys_notes,51,144,True,True
computational_details[].analytical_model,50,146,True,True
computational_details[].analytical_model[].equation_role,49,130,True,True
computational_details[].analytical_model[].model_name,49,130,True,True
computational_details[].analytical_model[].model_note,49,119,True,True
interfaces[].interface_set_id,49,102,True,True
interfaces,49,98,True,True
interfaces[].phases,48,200,True,True
interfaces[].phases[].interface_id,48,147,True,True
interfaces[].phases[].phase_1_name,48,147,True,True
interfaces[].phases[].phase_2_name,48,147,True,True
structures[].microstructure_list[].grain_structure,46,180,True,True
interfaces[].sample_id,46,98,True,True
processing_steps[].reduction_ratio,41,235,True,True
structures[].microstructure_list[].precipitates[].size,41,163,True,True
structures[].microstructure_list[].precipitates[].size.value,41,163,True,True
computational_details[].analytical_model[].parameters,40,112,True,True
computational_details[].simulation_method,40,51,True,True
structures[].microstructure_list[].grain_structure.average_grain_size,39,149,True,True
structures[].microstructure_list[].grain_structure.average_grain_size.value,39,149,True,True
structures[].microstructure_list[].grain_structure.average_grain_size.unit,39,148,True,True
computational_details[].validation_against_experiment,38,41,True,True
interfaces[].phases[].microstructure_uuid,37,123,True,True
interfaces[].phase_evolution,37,73,True,True
papers[].publication_year,36,36,True,True
structures[].microstructure_list[].phases_present[].grain_size,35,164,True,True
processes[].processes_notes,35,105,True,True
structures[].microstructure_list[].defects[].dislocation_density,34,122,True,True
interfaces[].phases[].coherence,34,94,True,True
structures[].microstructure_list[].precipitates[].size.unit,33,118,True,True
properties[].mechanical.tensile_properties.yield_strength[].direction,32,232,True,True
properties[].mechanical.tensile_properties.elongation[].direction,32,165,True,True
properties[].mechanical.tensile_properties.ultimate_tensile_strength[].direction,31,140,True,True
interfaces[].defect_interaction,31,100,True,True
interfaces[].defect_interaction[].interaction_id,31,57,True,True
interfaces[].defect_interaction[].interaction_type,31,57,True,True
interfaces[].defect_interaction[].quality_description,31,57,True,True
performance,30,60,True,True
performance[].performance_id,30,45,True,True
computational_details[].software_used,30,37,True,True
performance[].sample_id,29,44,True,True
properties[].physical,28,156,True,True
performance[].comparative_performance,28,41,True,True
performance[].comparative_performance.benchmark_alloy,28,41,True,True
structures[].microstructure_list[].precipitates[].coherency,27,111,True,True
properties[].mechanical.hardness,26,500,True,True
properties[].mechanical.hardness[].value,26,285,True,True
properties[].physical.density,26,138,True,True
properties[].physical.density.unit,26,138,True,True
properties[].physical.density.value,26,138,True,True
interfaces[].interface_notes,26,88,True,True
properties[].mechanical.hardness[].scale,25,282,True,True
structures[].microstructure_counts,25,118,True,True
performance[].comparative_performance.improvement_percentage,24,37,True,True
interfaces[].interface_notes[].stress_strain_distribution,24,33,True,True
properties[].mechanical.tensile_properties.ultimate_tensile_strength[].others,23,103,True,True
properties[].mechanical.tensile_properties.ultimate_tensile_strength[].others.uncertainty,23,103,True,True
interfaces[].defect_interaction[].microstructure_uuid,23,47,True,True
properties[].mechanical.tensile_properties.stress_strain_curves,22,92,True,True
structures[].microstructure_list[].grain_structure.grain_size_distribution,22,66,True,True
properties[].mechanical.hardness[].region,20,161,True,True
properties[].mechanical.tensile_properties.strain_hardening_rate,20,138,True,True
properties[].mechanical.tensile_properties.yield_strength[].others,20,91,True,True
properties[].mechanical.tensile_properties.yield_strength[].others.uncertainty,20,91,True,True
properties[].mechanical.hardness[].unit,19,212,True,True
properties[].mechanical.tensile_properties.strain_hardening_rate[].value,19,91,True,True
performance[].service_conditions,19,26,True,True
structures[].microstructure_list[].phases_present[].texture,18,45,True,True
papers[].journal,18,18,True,True
computational_details[].sample_id,17,26,True,True
performance[].service_conditions.stress_state,17,23,True,True
papers[].doi,17,17,True,True
performance[].service_conditions.environment,16,18,True,True
interfaces[].interface_notes[].slippage_situation,14,27,False,True
structures[].microstructure_list[].grain_structure.texture,13,33,True,True
properties[].mechanical.tensile_properties.strain_hardening_rate[].unit,12,61,True,True
performance[].comparative_performance.benchmark_sample_id,10,17,True,True
properties[].mechanical.tensile_properties.strain_hardening_rate[].property_id,9,54,True,True
structures[].microstructure_list[].defects[].lattice_distortion,9,28,True,True
performance[].service_conditions.operating_temperature,9,12,True,True
performance[].service_conditions.operating_temperature.min,9,12,True,True
properties[].mechanical.tensile_properties.strain_hardening_rate[].direction,8,25,True,True
properties[].mechanical.tensile_properties.youngs_modulus,8,24,True,True
performance[].service_conditions.operating_temperature.max,8,11,True,True
alloys[].nominal_composition[].atomic_percent,6,117,True,True
performance[].comparative_performance.benchmark_process_id,6,13,True,True
properties[].chemical,5,75,True,True
properties[].mechanical.tensile_properties.elongation[].others,5,25,False,True
properties[].mechanical.tensile_properties.elongation[].others.uncertainty,5,25,False,True
properties[].mechanical.tensile_properties.stress_strain_distribution,5,20,True,True
properties[].mechanical.tensile_properties.stress_strain_distribution[].distribution,5,12,True,True
properties[].mechanical.impact_toughness,4,59,False,True
properties[].mechanical.tensile_properties.stress_strain_distribution[].direction,4,10,True,True
properties[].mechanical.fracture_toughness,4,9,True,True
properties[].mechanical.fracture_toughness.unit,4,9,True,True
properties[].mechanical.fracture_toughness.value,4,9,True,True
performance[].service_conditions.operating_temperature.unit,4,5,True,True
properties[].chemical.oxidation_resistance,3,68,True,True
properties[].chemical.oxidation_resistance.protective_scale,3,66,True,True
properties[].mechanical.impact_toughness[].unit,3,29,False,True
properties[].mechanical.impact_toughness[].value,3,29,False,True
structures[].microstructure_list[].defects[].porosity,3,9,True,True
properties[].chemical.corrosion_resistance,3,8,True,True
properties[].chemical.corrosion_resistance.passivation_behavior,3,8,True,True
properties[].chemical.corrosion_resistance.test_medium,3,8,True,True
structures[].microstructure_list[].defects[].inclusions,3,8,True,True
computational_details[].potential_model,3,3,True,True
properties[].chemical.oxidation_resistance.oxidation_rate_constant,2,66,True,True
properties[].mechanical.hardness[].others,2,19,False,True
properties[].mechanical.hardness[].others.uncertainty,2,19,False,True
properties[].mechanical.reduction_of_area,2,18,False,True
properties[].mechanical.tensile_properties.reduction_of_area,2,10,False,True
properties[].mechanical.tensile_properties.uniform_elongation,2,10,False,True
properties[].mechanical.reduction_of_area[].unit,2,9,False,True
properties[].mechanical.reduction_of_area[].value,2,9,False,True
properties[].chemical.corrosion_resistance.corrosion_rate,2,7,True,True
properties[].mechanical.fatigue_properties,2,6,True,True
properties[].mechanical.fatigue_properties.fatigue_limit,2,6,True,True
properties[].mechanical.tensile_properties.reduction_of_area[].unit,2,6,False,True
properties[].mechanical.tensile_properties.reduction_of_area[].value,2,6,False,True
properties[].mechanical.tensile_properties.uniform_elongation[].unit,2,6,False,True
